"url","historicalGroup","priorRecordedClassification","currentStatus","currentHops","canonical","robots","robotsEligible","inSitemap","disposition"
"https://www.oligopolypeptides.com/research-products/","historical redirect/link repair recommendation","already resolved","301","1","[]","[]","true","true","One-hop redirect now reaches an indexable destination"
"https://oligopolypeptides.com/stacks/longevity-research-stack","canonical","still present","301","2","[]","[]","null","false","Redirect chain still present"
"https://oligopolypeptides.com/contact?subject=404%20Error&message=Broken%20link%20found:%20/cagrilintide-research-peptide","canonical","still present","301","2","[]","[]","null","false","Redirect chain still present"
"https://www.oligopolypeptides.com/product-category/research-compounds/","noindex","already resolved","301","1","[]","[]","true","false","One-hop redirect now reaches an indexable destination"
"https://www.oligopolypeptides.com/product-category/research-blends-cat/","noindex","already resolved","301","1","[]","[]","true","false","One-hop redirect now reaches an indexable destination"
"https://www.oligopolypeptides.com/product-category/cognitive-research/","noindex","already resolved","301","1","[]","[]","true","false","Manual review"
"https://www.oligopolypeptides.com/product-category/research-blends-cat/mitochondrial-research-blends/","noindex","still present","200","0","[]","[{""name"":""robots"",""content"":""follow, noindex""}]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/category/recovery-research/","noindex","still present","200","0","[]","[{""name"":""robots"",""content"":""follow, noindex""}]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/product-category/recovery-research/","noindex","already resolved","301","1","[]","[]","true","false","One-hop redirect now reaches an indexable destination"
"https://www.oligopolypeptides.com/tag/cjc-1295-no-dac/","noindex","still present","200","0","[]","[{""name"":""robots"",""content"":""follow, noindex""}]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/peptide-finder/cellular-health/","noindex","still present","301","2","[]","[]","true","true","Redirect chain still present"
"https://www.oligopolypeptides.com/semaglutide-cagrilintide-research-comparison/?share=facebook&nb=1","noindex","still present","302","1","[]","[]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/what-is-retatrutide-triple-agonist/?share=facebook&nb=1","noindex","still present","302","1","[]","[]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/product-category/longevity/","404","already resolved","410","0","[]","[]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/products/tesamorelin-10mg-research-peptide/","404","already resolved","301","1","[]","[]","true","false","One-hop redirect now reaches an indexable destination"
"https://www.oligopolypeptides.com/product-category/wellness/","404","already resolved","410","0","[]","[]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/product-category/wellness/gut-health/digestive-and-immune-support/","404","already resolved","410","0","[]","[]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/products/bpc-157-tb-500-blend/","404","already resolved","200","0","[""https://www.oligopolypeptides.com/products/bpc-157-tb-500-blend/""]","[{""name"":""robots"",""content"":""follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large""}]","true","true","Earlier access/indexability defect absent in current response"
"https://www.oligopolypeptides.com/nutraceuticals/","404","already resolved","410","0","[]","[]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/product-category/vitamins/vitamins-wellness/bone-and-muscle-support/","404","already resolved","410","0","[]","[]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/product-category/vitamins/vitamins-wellness/daily-foundation/","404","already resolved","410","0","[]","[]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/product-category/vitamins/vitamins-wellness/immune-and-metabolic-support/","404","already resolved","410","0","[]","[]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/peptide-reconstitution-guide","404","already resolved","301","1","[]","[]","true","false","One-hop redirect now reaches an indexable destination"
"https://oligopolypeptides.com/product-tag/lyophilized-nad-vial","robots","still present","301","2","[]","[]","null","false","Redirect chain still present"
"https://www.oligopolypeptides.com/product-tag/ipamorelin-5mg/","robots","still present","200","0","[]","[{""name"":""robots"",""content"":""follow, noindex""}]","false","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/products/recovery-support-research-stack/","historical redirect/link repair recommendation","already resolved","301","1","[]","[]","true","false","One-hop redirect now reaches an indexable destination"
"https://www.oligopolypeptides.com/?opl7_pdf=research-compound&item=52","crawled","still present","200","0","[]","[]","true","false","Manual review"
"https://www.oligopolypeptides.com/Research%20Panels/","historical redirect/link repair recommendation","still present","200","0","[""https://www.oligopolypeptides.com/research-panels/""]","[{""name"":""robots"",""content"":""follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large""}]","true","false","Manual review"
"https://www.oligopolypeptides.com/products/recovery-support-research-Research%20Panel/","historical redirect/link repair recommendation","still present","404","0","[]","[{""name"":""robots"",""content"":""follow, noindex""}]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/products/starter-research-Research%20Panel/","historical redirect/link repair recommendation","still present","404","0","[]","[{""name"":""robots"",""content"":""follow, noindex""}]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/products/metabolic-research-Research%20Panel","historical redirect/link repair recommendation","still present","404","0","[]","[{""name"":""robots"",""content"":""follow, noindex""}]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
