"url","status","finalUrl","finalStatus","sourcePages","replacement","disposition"
"https://www.oligopolypeptides.com/products/recovery-support-research-Research%20Panel/","404","https://www.oligopolypeptides.com/products/recovery-support-research-Research%20Panel/","404","[""https://www.oligopolypeptides.com/bpc-157-vs-tb-500-research-comparison/"",""https://www.oligopolypeptides.com/research-peptide-research-panels-guide/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/products/starter-research-Research%20Panel/","404","https://www.oligopolypeptides.com/products/starter-research-Research%20Panel/","404","[""https://www.oligopolypeptides.com/research-peptide-research-panels-guide/"",""https://www.oligopolypeptides.com/research-library/"",""https://www.oligopolypeptides.com/research-library/?record=1945"",""https://www.oligopolypeptides.com/research-library/?record=63"",""https://www.oligopolypeptides.com/research-library/?record=49"",""https://www.oligopolypeptides.com/research-library/?record=441"",""https://www.oligopolypeptides.com/research-library/?record=52"",""https://www.oligopolypeptides.com/research-library/?record=447"",""https://www.oligopolypeptides.com/research-library/?record=443"",""https://www.oligopolypeptides.com/research-library/?record=446""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/products/epitalon","301","https://www.oligopolypeptides.com/products/epitalon-50mg-research-peptide/","404","[""https://www.oligopolypeptides.com/senescence-biology-hub/"",""https://www.oligopolypeptides.com/receptor-pharmacology-hub/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/products/ara-290","301","https://www.oligopolypeptides.com/products/ara-290-10mg-research-peptide/","404","[""https://www.oligopolypeptides.com/ecm-signaling-hub/"",""https://www.oligopolypeptides.com/receptor-pharmacology-hub/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/gh-axis-research-peptides-cjc-1295-ipamorelin-tesamorelin/","404","https://www.oligopolypeptides.com/gh-axis-research-peptides-cjc-1295-ipamorelin-tesamorelin/","404","[""https://www.oligopolypeptides.com/follistatin-344-vs-igf-1-lr3-research-comparison/"",""https://www.oligopolypeptides.com/igf-1-lr3-vs-peg-mgf-research-comparison/"",""https://www.oligopolypeptides.com/ipamorelin-vs-tesamorelin-research-comparison/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/products/peg-mgf-2mg-research-peptide/","404","https://www.oligopolypeptides.com/products/peg-mgf-2mg-research-peptide/","404","[""https://www.oligopolypeptides.com/igf-1-lr3-vs-peg-mgf-research-comparison/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/products/melanotan-ii","301","https://www.oligopolypeptides.com/products/melanotan-ii-10mg-research-peptide/","404","[""https://www.oligopolypeptides.com/receptor-pharmacology-hub/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/products/igf-1-lr3","301","https://www.oligopolypeptides.com/products/igf-1-lr3-1mg-research-peptide/","404","[""https://www.oligopolypeptides.com/receptor-pharmacology-hub/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/endocrine-receptor-ligands-blends/","404","https://www.oligopolypeptides.com/endocrine-receptor-ligands-blends/","404","[""https://www.oligopolypeptides.com/semaglutide-cagrilintide-blend-research/"",""https://www.oligopolypeptides.com/research-blends-vs-single-compounds-study-design/"",""https://www.oligopolypeptides.com/metabolic-research-blends/"",""https://www.oligopolypeptides.com/recovery-research-blends/"",""https://www.oligopolypeptides.com/longevity-research-blends/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/senescence-telomere-signaling-blends/","404","https://www.oligopolypeptides.com/senescence-telomere-signaling-blends/","404","[""https://www.oligopolypeptides.com/epitalon-pinealon-blend-longevity-research/"",""https://www.oligopolypeptides.com/mots-c-ss-31-blend-mitochondrial-research/"",""https://www.oligopolypeptides.com/mitochondrial-research-peptides-mots-c-ss-31/"",""https://www.oligopolypeptides.com/research-blends-vs-single-compounds-study-design/"",""https://www.oligopolypeptides.com/metabolic-research-blends/"",""https://www.oligopolypeptides.com/recovery-research-blends/"",""https://www.oligopolypeptides.com/longevity-research-blends/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/products/recovery-mitochondrial-redox-signaling-Research%20Panel/","404","https://www.oligopolypeptides.com/products/recovery-mitochondrial-redox-signaling-Research%20Panel/","404","[""https://www.oligopolypeptides.com/bpc-157-vs-tb-500-research-comparison/"",""https://www.oligopolypeptides.com/research-peptide-research-panels-guide/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/products/performance-extracellular-matrix-signaling-Research%20Panel/","404","https://www.oligopolypeptides.com/products/performance-extracellular-matrix-signaling-Research%20Panel/","404","[""https://www.oligopolypeptides.com/bpc-157-vs-tb-500-research-comparison/"",""https://www.oligopolypeptides.com/research-peptide-research-panels-guide/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/products/senescence-telomere-signaling-Research%20Panel/","404","https://www.oligopolypeptides.com/products/senescence-telomere-signaling-Research%20Panel/","404","[""https://www.oligopolypeptides.com/mitochondrial-research-peptides-guide/"",""https://www.oligopolypeptides.com/epitalon-pinealon-research-comparison/"",""https://www.oligopolypeptides.com/research-peptide-research-panels-guide/"",""https://www.oligopolypeptides.com/mots-c-ss-31-research-comparison/"",""https://www.oligopolypeptides.com/houston-research-peptides/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/extracellular-matrix-signaling-blends/","404","https://www.oligopolypeptides.com/extracellular-matrix-signaling-blends/","404","[""https://www.oligopolypeptides.com/bpc-157-kpv-blend-recovery-immune-research/"",""https://www.oligopolypeptides.com/research-blends-vs-single-compounds-study-design/"",""https://www.oligopolypeptides.com/metabolic-research-blends/"",""https://www.oligopolypeptides.com/recovery-research-blends/"",""https://www.oligopolypeptides.com/longevity-research-blends/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/tag/research-collections/","404","https://www.oligopolypeptides.com/tag/research-collections/","404","[""https://www.oligopolypeptides.com/research-peptide-research-panels-how-to-choose/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/products/neuropeptide-signaling-Research%20Panel/","404","https://www.oligopolypeptides.com/products/neuropeptide-signaling-Research%20Panel/","404","[""https://www.oligopolypeptides.com/research-peptide-research-panels-guide/"",""https://www.oligopolypeptides.com/cognitive-research-peptides-semax-selank-dihexa/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
"https://www.oligopolypeptides.com/innate-immune-signaling-peptides-thymosin-alpha-1-kpv-thymosin-beta-4/","404","https://www.oligopolypeptides.com/innate-immune-signaling-peptides-thymosin-alpha-1-kpv-thymosin-beta-4/","404","[""https://www.oligopolypeptides.com/thymosin-alpha-1-vs-kpv-research-comparison/"",""https://www.oligopolypeptides.com/kpv-vs-thymosin-beta-4-research-comparison/""]","null","No verified equivalent. Preserve real 404/410; do not redirect to homepage/category. Source-level repair remains unresolved under freeze."
