"from","status","hops","chain","finalStatus","proposedTo","disposition"
"https://www.oligopolypeptides.com/peptide-finder/cellular-health/","301","2","[""https://www.oligopolypeptides.com/cellular-longevity-hub/"",""https://www.oligopolypeptides.com/senescence-biology-hub/""]","200","https://www.oligopolypeptides.com/senescence-biology-hub/","Propose direct 301; retain exact destination"
"https://www.oligopolypeptides.com/research-panels/","301","2","[""https://www.oligopolypeptides.com/research-stacks/"",""https://www.oligopolypeptides.com/research-collections/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"http://oligopolypeptides.com/","301","2","[""https://oligopolypeptides.com/"",""https://www.oligopolypeptides.com/""]","200","https://www.oligopolypeptides.com/","Propose direct 301; retain exact destination"
"http://oligopolypeptides.com/products/selank-5mg-research-peptide/","301","2","[""https://oligopolypeptides.com/products/selank-5mg-research-peptide/"",""https://www.oligopolypeptides.com/products/selank-5mg-research-peptide/""]","200","https://www.oligopolypeptides.com/products/selank-5mg-research-peptide/","Propose direct 301; retain exact destination"
"http://shop.oligopolypeptides.com/","301","2","[""https://shop.oligopolypeptides.com/"",""https://www.oligopolypeptides.com/""]","200","https://www.oligopolypeptides.com/","Propose direct 301; retain exact destination"
"http://shop.oligopolypeptides.com/products/selank-5mg-research-peptide/","301","2","[""https://shop.oligopolypeptides.com/products/selank-5mg-research-peptide/"",""https://www.oligopolypeptides.com/products/selank-5mg-research-peptide/""]","200","https://www.oligopolypeptides.com/products/selank-5mg-research-peptide/","Propose direct 301; retain exact destination"
"https://www.oligopolypeptides.com/products/cellular-energy-stack/","301","2","[""https://www.oligopolypeptides.com/products/cellular-energy-research-collection/"",""https://www.oligopolypeptides.com/products/mitochondrial-signaling-collection/""]","200","https://www.oligopolypeptides.com/products/mitochondrial-signaling-collection/","Propose direct 301; retain exact destination"
"https://www.oligopolypeptides.com/products/neurocognitive-pathways-stack/","301","2","[""https://www.oligopolypeptides.com/products/neurocognitive-pathways-research-collection/"",""https://www.oligopolypeptides.com/products/cns-receptor-reference-collection/""]","200","https://www.oligopolypeptides.com/products/cns-receptor-reference-collection/","Propose direct 301; retain exact destination"
"https://www.oligopolypeptides.com/products/regenerative-biology-stack/","301","2","[""https://www.oligopolypeptides.com/products/regenerative-biology-research-collection/"",""https://www.oligopolypeptides.com/products/tissue-signaling-collection/""]","200","https://www.oligopolypeptides.com/products/tissue-signaling-collection/","Propose direct 301; retain exact destination"
"https://www.oligopolypeptides.com/products/tesamorelin","301","2","[""https://www.oligopolypeptides.com/products/tesamorelin-10mg-research-peptide/"",""https://www.oligopolypeptides.com/ipamorelin-vs-tesamorelin-research-comparison/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
